Fe,Co,Ni,V,Mo,Cr,Cu,Mn,C,W,Ta,Nb,Al,Ti,Si,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,Ms,logHc,logTc,logER,logHV,logCost
10.47,39.7,49.83,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.023994000000000182,0.0,1.0,0.0,55.845,584.6971500000001,0.0,0.0,0.0,8.0,1e-06,4.28,6.0,0.0,0.0,6.0,0.0,81.52,0.0,0.0,0.0,1.37,3.144,3.032,1.422,2.134,1.303
10.47,29.76,59.77,0,0,0,0,0,0,0,0,0,0,0,0,2.220446049250313e-16,11.012644040752141,0.023994000000000182,0.0,1.0,-0.004766598669084597,58.12948131245339,2338.5490332,-9.66781066225947e+28,0.014753753053695636,0.03272867810981708,8.739746457867263,0.7700865437604023,4.361372110365399,13.0,0.0,0.0,13.0,0.0,77.74729306487696,0.028782245334754642,0.9818603432945119,-0.0004028141679111863,1.18,2.98,3.005,1.31,2.187,1.261
10.47,19.83,69.7,0,0,0,0,0,0,0,0,0,0,0,0,1.1102230246251565e-16,10.563388401131215,0.02399399999999985,0.0,1.0,-0.005359577105449988,57.86608603465346,1753.3424068499999,-4.3482055262036184e+29,0.016036224076780584,0.03844439760807763,8.654455445544555,0.9045740613665328,4.351990099009901,13.0,0.0,0.0,13.0,0.0,78.18227722772278,0.031020866841395413,1.153331928242328,-0.00046954214694137214,1.08,2.961,2.971,1.292,2.193,1.213
10.46,9.91,79.63,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.318018395683225,0.02399399999999996,0.0,1.0,-0.005759794727639849,57.34740610947472,1168.16666245,0.0,0.01695073048017452,0.0424690163733329,8.486499754540992,0.9992709734901862,4.3335149729995095,13.0,0.0,0.0,13.0,0.0,79.03885125184095,0.03225085235116816,1.274070491199986,-0.0005123497449000362,0.95,2.874,2.948,1.281,2.198,1.16
20.82,9.86,69.32,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.7544943252673,0.02399399999999996,0.0,1.0,-0.005220417058483016,56.837490309647976,1743.7742027,0.0,0.015927185150513043,0.03707625418799262,8.321382007822686,0.8723824514821796,4.315352020860495,13.0,0.0,0.0,13.0,0.0,79.8809517601043,0.02981607074113308,1.1122876256397778,-0.0004434935151908931,1.31,2.591,2.954,1.352,2.25,1.117
31.07,9.81,59.12,0,0,0,0,0,0,0,0,0,0,0,0,2.220446049250313e-16,11.308013355887304,0.02399400000000018,0.0,1.0,-0.004581397190027125,56.586076148483365,2313.23879295,-9.292177436514894e+28,0.014605529656465792,0.03100540494157879,8.239970645792564,0.7295389398018542,4.306396771037182,13.0,0.0,0.0,13.0,0.0,80.29614970645791,0.02712499697570839,0.9301621482473631,-0.0003697974090436165,1.29,2.679,2.945,1.423,2.27,1.07
41.22,9.76,49.02,0,0,0,0,0,0,0,0,0,0,0,0,1.1102230246251565e-16,11.820393861252303,0.02399399999999985,0.0,1.0,-0.004059852927288693,56.43622760298156,2877.1188832,-3.293744000074141e+29,0.013477937523991866,0.02631522357939735,8.191447626520205,0.6191817312799379,4.301059238917222,13.0,0.0,0.0,13.0,0.0,80.54361710474696,0.024912546264846666,0.78945670738192,-0.0003134402032825539,1.41,2.223,2.951,1.589,2.318,1.017
34.49,32.69,32.82,0,0,0,0,0,0,0,0,0,0,0,0,2.220446049250313e-16,10.317960762502798,0.02399400000000018,0.0,1.0,-0.005759840984429097,57.34772543242037,3852.6201945499997,-1.168234540980912e+29,0.016950765393374687,0.04246948917568125,8.486603155701102,0.999282098251324,4.333526347127122,13.0,0.0,0.0,13.0,0.0,79.03832390592439,0.0322512470528498,1.2740846752704367,-0.0005123587510005613,1.6,2.793,3.009,1.423,2.345,1.196
41.28,48.9,9.82,0,0,0,0,0,0,0,0,0,0,0,0,2.220446049250313e-16,10.322687251681863,0.02399400000000018,0.0,1.0,-0.005733109855672076,57.51957014304724,5187.1148355,-1.1628128239547335e+29,0.01686438433088237,0.04219655610048474,8.54224883566201,0.9928601435408179,4.339647371922822,13.0,0.0,0.0,13.0,0.0,78.75453093812375,0.032263291335561,1.2658966830145413,-0.000510938008704151,1.97,3.062,3.063,1.246,2.432,1.254
31.13,59.0,9.87,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.563962062778813,0.023993999999999956,0.0,1.0,-0.00535875594065446,57.86656335293465,5215.513355,0.0,0.016034446693352553,0.038436276734732135,8.65461000776656,0.9043829819936977,4.352007100854321,13.0,0.0,0.0,13.0,0.0,78.18148896039055,0.03101790302913304,1.1530883020419633,-0.00046944908398674316,1.91,2.758,3.066,1.193,2.424,1.326
20.87,69.2,9.93,0,0,0,0,0,0,0,0,0,0,0,0,2.220446049250313e-16,11.237479769539952,0.02399400000000018,0.0,1.0,-0.004500640229347458,58.217633440657266,5243.662244,-9.128382861029794e+28,0.014173600965128113,0.030263359676248977,8.768291328966361,0.7120790512058586,4.3645120461863,13.0,0.0,0.0,13.0,0.0,77.60171422227158,0.027728920983110784,0.9079007902874686,-0.0003735113159165238,1.88,2.7,3.103,1.188,2.239,1.388
10.49,79.53,9.98,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.884834368127816,0.023993999999999963,0.0,1.0,-0.002992649877585808,58.57332868640303,5272.77104835,0.0,0.010737006015573813,0.01750158472769708,8.883470339924461,0.4118019935928727,4.377181737391691,13.0,0.0,0.0,13.0,0.0,77.01430126638526,0.021247753692531193,0.5250475418309121,-0.00021869232193662096,1.87,2.835,3.11,1.196,2.202,1.442
10.49,69.55,19.96,0,0,0,0,0,0,0,0,0,0,0,0,1.1102230246251565e-16,12.572754586656693,0.023993999999999852,0.0,1.0,-0.003229122387444252,58.52845779922539,4684.61776225,-2.6197753168986364e+29,0.011298204027108717,0.019360090538189174,8.868940529735132,0.45553154207503954,4.375583458270865,13.0,0.0,0.0,13.0,0.0,77.08840329835083,0.022325971036778493,0.5808027161456748,-0.0002415143701609548,1.69,3.001,3.09,1.228,2.189,1.411
10.48,59.6,29.92,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.235334562467944,0.02399399999999996,0.0,1.0,-0.003507811404753985,58.47137588470319,4097.674021999999,0.0,0.011946995473202753,0.021620626654990503,8.850456621004566,0.5087206271762473,4.373550228310502,13.0,0.0,0.0,13.0,0.0,77.18267123287671,0.02356459874452465,0.6486187996497146,-0.0002691567746594438,1.6,2.845,3.077,1.369,2.192,1.378
10.48,49.64,39.88,0,0,0,0,0,0,0,0,0,0,0,0,2.220446049250313e-16,11.862696114529784,0.023994000000000182,0.0,1.0,-0.0038466164935161188,58.39486692947438,3510.6993998,-7.801865130965624e+28,0.012720001811087638,0.02446831331791948,8.825681969394545,0.5757250192451645,4.3708250166333995,13.0,0.0,0.0,13.0,0.0,77.30902195608782,0.02502750477562487,0.734049399537584,-0.0003037864551078233,1.5,2.85,3.06,1.34,2.238,1.342
51.32,38.91,9.77,0,0,0,0,0,0,0,0,0,0,0,0,1.1102230246251565e-16,10.3846597920782,0.02399399999999985,0.0,1.0,-0.0056839397968778595,57.176726337692564,5159.05601745,-4.611359804910937e+29,0.016827304362761444,0.04169604715148569,8.431231297794525,0.981083462387899,4.327435442757398,13.0,0.0,0.0,13.0,0.0,79.32072038124792,0.03184245239624779,1.25088141454457,-0.0005013942821708878,2.12,3.053,3.069,1.217,2.496,1.168
61.26,29.03,9.71,0,0,0,0,0,0,0,0,0,0,0,0,1.1102230246251565e-16,10.753797151088309,0.02399399999999985,0.0,1.0,-0.005221271389249648,56.837915060914824,5131.89535085,-4.23599859874355e+29,0.015928903742315238,0.03708460381060565,8.321519548122716,0.8725789131907217,4.315367150293499,13.0,0.0,0.0,13.0,0.0,79.88025030457416,0.029819689716369693,1.112538114318169,-0.00044359589232578246,2.09,3.053,3.064,1.21,2.444,1.06
71.09,19.25,9.66,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.569859657541118,0.023993999999999956,0.0,1.0,-0.004306768844784748,56.503044650763776,5104.485053750001,0.0,0.014017227813826402,0.02850545627717177,8.213083905246846,0.6707166182863948,4.303439229577153,13.0,0.0,0.0,13.0,0.0,80.43327208324109,0.02596414210632249,0.8551636883151524,-0.00033971724665707477,2.03,2.973,3.068,1.279,2.373,0.916
80.82,9.57,9.61,0,0,0,0,0,0,0,0,0,0,0,0,1.1102230246251565e-16,13.398241080581595,0.02399399999999985,0.0,1.0,-0.002808487345472546,56.171961236309336,5077.3835761499995,-2.2785156283018622e+29,0.01057095812610336,0.016093071190897635,8.105874543644209,0.37866049860935624,4.291646199800864,13.0,0.0,0.0,13.0,0.0,80.98003982741454,0.01937702928485892,0.4827921357269287,-0.0001913742895307156,1.92,3.091,3.018,1.369,2.335,0.7
71.06,9.62,19.32,0,0,0,0,0,0,0,0,0,0,0,0,2.220446049250313e-16,13.059856681759392,0.02399400000000018,0.0,1.0,-0.0030379437922011974,56.21322553173029,4535.2830359,-6.161682034629554e+28,0.011128951878283206,0.017853255385740778,8.119236489836391,0.4200765973115479,4.293116013882003,13.0,0.0,0.0,13.0,0.0,80.9118939018344,0.020426410588122328,0.535597661572223,-0.00021234652332934728,1.69,3.166,2.998,1.479,2.381,0.803
61.21,9.67,29.12,0,0,0,0,0,0,0,0,0,0,0,0,1.1102230246251565e-16,12.688346645202552,0.023993999999999852,0.0,1.0,-0.0033125093337485153,56.266315542466145,3988.15644565,-2.6874268449202673e+29,0.011780518709263976,0.020028589118606967,8.13642776523702,0.4712609204378112,4.2950070541760725,13.0,0.0,0.0,13.0,0.0,80.82421839729119,0.02165855012273261,0.6008576735582086,-0.00023828653581467896,1.43,3.062,2.943,1.663,2.439,0.887
51.26,9.72,39.02,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.276864075747852,0.023993999999999956,0.0,1.0,-0.003647084267206406,56.33724754673664,3435.4453553999997,0.0,0.012553258779231368,0.02277817619958519,8.159396523450312,0.5359570870490635,4.297533617579535,13.0,0.0,0.0,13.0,0.0,80.70707773040341,0.02313095517225872,0.6833452859875553,-0.0002711164187926395,1.47,2.85,2.94,1.667,2.293,0.957
71.08,14.43,14.49,0,0,0,0,0,0,0,0,0,0,0,0,1.1102230246251565e-16,12.131293959451146,0.023993999999999852,0.0,1.0,-0.0037737422886387237,56.366139677815454,4819.86860385,-3.0616234734716993e+29,0.012840209739245337,0.023846731329948037,8.168752192725997,0.5610995607046599,4.298562741199859,13.0,0.0,0.0,13.0,0.0,80.65936381709741,0.023681289798707157,0.7154019398984406,-0.00028389030584065333,2.0,3.322,3.007,1.501,2.548,0.863
61.24,19.34,19.42,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.30766549201844,0.02399399999999996,0.0,1.0,-0.004581773663849344,56.58619745966742,4559.7157913,0.0,0.014606327937756696,0.031008877620374634,8.240009928021841,0.7296206498911681,4.306401092082403,13.0,0.0,0.0,13.0,0.0,80.29594936708861,0.02712658364611998,0.9302663286112384,-0.00036983927133942517,1.94,3.182,3.0,1.435,2.609,0.982
51.3,24.3,24.4,0,0,0,0,0,0,0,0,0,0,0,0,1.1102230246251565e-16,10.754258223888357,0.02399399999999985,0.0,1.0,-0.005220706368783579,56.83763410714286,4296.9251385,-4.23554019968246e+29,0.015927767150574916,0.037079081632653055,8.321428571428573,0.8724489795918369,4.315357142857144,13.0,0.0,0.0,13.0,0.0,79.88071428571429,0.029817296252524862,1.1123724489795908,-0.00044352818284262505,1.83,2.942,3.015,1.415,2.417,1.075
41.25,29.32,29.43,0,0,0,0,0,0,0,0,0,0,0,0,1.1102230246251565e-16,10.417177414001868,0.02399399999999985,0.0,1.0,-0.005643452069484291,57.12806472155307,4031.5275273999996,-4.578512258074243e+29,0.01675320840577265,0.04128541033177701,8.415473997449343,0.9714214195712242,4.325702139719428,13.0,0.0,0.0,13.0,0.0,79.40108261300837,0.031653197980211226,1.2385623099533094,-0.0004960330750733606,1.77,2.554,3.006,1.412,2.328,1.152
31.1,34.38,34.52,0,0,0,0,0,0,0,0,0,0,0,0,2.220446049250313e-16,10.313586503039968,0.02399400000000018,0.0,1.0,-0.005752390666829882,57.46644386224801,3762.9027441,-1.1667234370486663e+29,0.016913515266143805,0.04239336021127192,8.525045815516188,0.9974908285005162,4.337755039706781,13.0,0.0,0.0,13.0,0.0,78.84226634086744,0.032302455461823205,1.2718008063381567,-0.0005127167400115762,1.65,2.457,3.037,1.425,2.344,1.217
20.84,39.5,39.66,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.564013284047395,0.023993999999999956,0.0,1.0,-0.005358682630101955,57.86660594133245,3491.6710024999998,0.0,0.0160342880174082,0.038435551760661504,8.654623798475306,0.904365923780271,4.352008617832284,13.0,0.0,0.0,13.0,0.0,78.18141862777594,0.0310176384060256,1.1530665528198443,-0.00046944077563785755,1.51,2.564,3.037,1.528,2.263,1.273
41.27,39.1,19.63,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.318018293327986,0.02399399999999996,0.0,1.0,-0.005759794809930511,57.34740667537638,4609.0110745,0.0,0.016950730542689762,0.04246901721444501,8.486499937787732,0.9992709932810595,4.33351499315665,13.0,0.0,0.0,13.0,0.0,79.03885031728257,0.032250853051872586,1.2740705164333495,-0.0005123497608985061,1.8,2.922,3.024,1.516,2.364,1.206
36.19,34.29,29.52,0,0,0,0,0,0,0,0,0,0,0,0,1.1102230246251565e-16,10.318006534505377,0.02399399999999985,0.0,1.0,-0.00575980426038874,57.34747171608967,4041.84980655,-4.672908369842496e+29,0.016950737712555407,0.0424691138098281,8.486520998864927,0.9992732661136029,4.333517309875142,13.0,0.0,0.0,13.0,0.0,79.0387429057889,0.03225093355706235,1.2740734142948422,-0.0005123515987655661,1.75,2.573,3.003,1.41,2.327,1.199
31.1,29.46,39.44,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.318040782095734,0.02399399999999996,0.0,1.0,-0.00575977671774194,57.34728244220608,3472.9514247,0.0,0.016950716763912712,0.042468832290083386,8.48645970937913,0.9992666421196095,4.333510568031704,13.0,0.0,0.0,13.0,0.0,79.03905548216645,0.032250699121608516,1.2740649687025007,-0.0005123462454565547,1.58,2.625,3.01,1.367,2.358,1.191
25.97,24.61,49.42,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.317987042624862,0.023993999999999956,0.0,1.0,-0.005759819911405778,57.34757965500198,2900.6405789499995,0.0,0.016950749544881193,0.04246927378275975,8.486555950968762,0.9992770301825827,4.333521154606564,13.0,0.0,0.0,13.0,0.0,79.0385646500593,0.03225106703420716,1.2740782134827915,-0.000512354644872641,1.44,2.608,3.001,1.346,2.286,1.184
20.82,19.73,59.45,0,0,0,0,0,0,0,0,0,0,0,0,1.1102230246251565e-16,10.317984896331218,0.023993999999999852,0.0,1.0,-0.005759821633670686,57.34759154993834,2325.44483735,-4.672922464723319e+29,0.016950750843734874,0.042469291386469335,8.4865598027127,0.9992774443875142,4.333521578298397,13.0,0.0,0.0,13.0,0.0,79.03854500616522,0.03225108173385515,1.274078741594079,-0.0005123549802548005,1.35,2.672,2.988,1.336,2.321,1.176
15.65,14.83,69.52,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.317991164016458,0.023993999999999956,0.0,1.0,-0.005759816603635554,57.34755681922572,1747.95353185,0.0,0.01695074704853089,0.04246923997320216,8.486548556430446,0.9992762346635805,4.333520341207349,13.0,0.0,0.0,13.0,0.0,79.03860236220473,0.03225103880862315,1.2740771991960638,-0.0005123540008423674,1.17,2.83,2.96,1.375,2.204,1.168
41.23,19.54,39.23,0,0,0,0,0,0,0,0,0,0,0,0,1.1102230246251565e-16,10.75369235773942,0.023993999999999852,0.0,1.0,-0.005221399815017822,56.83797894191213,3454.0439803,-4.236102790104901e+29,0.015929162073721595,0.03708585900611938,8.321540233667928,0.8726084472028094,4.315369425703472,13.0,0.0,0.0,13.0,0.0,79.88014480829357,0.02982023374577354,1.1125757701835808,-0.00044361128299894893,1.64,2.686,2.975,1.54,2.316,1.09
36.18,29.39,34.43,0,0,0,0,0,0,0,0,0,0,0,0,1.1102230246251565e-16,10.356449520715872,0.023993999999999852,0.0,1.0,-0.005718168814363335,57.22920087006253,3752.51870105,-4.6391296830297754e+29,0.016887672314777887,0.04204425898914991,8.448223272838188,0.9892766820976453,4.329304560012201,13.0,0.0,0.0,13.0,0.0,79.23406130852524,0.03201010874645192,1.2613277696744964,-0.0005060650244214301,1.71,2.625,3.024,1.391,2.312,1.172
31.1,39.3,29.6,0,0,0,0,0,0,0,0,0,0,0,0,2.220446049250313e-16,10.337379846038246,0.02399400000000018,0.0,1.0,-0.005706299605386696,57.568949765625,4052.8540635,-1.1573750591760887e+29,0.016800618086467423,0.041923404409865674,8.558238636363638,0.9864330449380163,4.34140625,13.0,0.0,0.0,13.0,0.0,78.67298295454545,0.032192030426991175,1.2577021322959694,-0.0005082042448356916,1.71,2.686,3.028,1.344,2.303,1.241
25.99,49.27,24.74,0,0,0,0,0,0,0,0,0,0,0,0,2.220446049250313e-16,10.564162010289607,0.023994000000000182,0.0,1.0,-0.005358469774488312,57.86672957281424,4355.05006765,-1.0868267881495895e+29,0.016033827307313665,0.03843344683951157,8.654663832048898,0.9043163962238019,4.352013021525379,13.0,0.0,0.0,13.0,0.0,78.18121445655063,0.0310168700553913,1.1530034051853462,-0.0004694166524954347,1.73,2.657,3.064,1.358,2.302,1.301
20.86,59.29,19.85,0,0,0,0,0,0,0,0,0,0,0,0,2.220446049250313e-16,11.012583966225302,0.023994000000000182,0.0,1.0,-0.004766672201912422,58.129455165938865,4659.07583155,-9.667959804552796e+28,0.014753912805516434,0.032729368242405736,8.739737991266376,0.7701027821742529,4.361371179039301,13.0,0.0,0.0,13.0,0.0,77.74733624454149,0.028782532805881944,0.9818810472721713,-0.00040282233539315135,1.73,2.617,3.064,1.265,2.242,1.353
15.69,69.38,14.93,0,0,0,0,0,0,0,0,0,0,0,0,1.1102230246251565e-16,11.731374455673032,0.023993999999999852,0.0,1.0,-0.0039745432930350984,58.363619596802636,4964.9931191,-3.2245326022713766e+29,0.013007959101690116,0.025571328704347068,8.815563653461856,0.6016783224552253,4.369712001880804,13.0,0.0,0.0,13.0,0.0,77.36062536734454,0.025568331652669203,0.7671398611304114,-0.0003171386317980217,1.76,2.733,3.088,1.258,2.252,1.4
